codigo,asignatura,creditos,prerrequisitos,tipo,estado,nota,veces llevado,area,ciclo
ENF001,Comprensión y Producción de Textos 1,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
ENF002,Laboratorio Liderazgo Innovación,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
ENF003,Estrategias y Herramientas Digitales para el Aprendizaje,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
ENF004,Fundamentos de Matemática,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
ENF005,Biología en Salud,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
ENF006,Química en Salud,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
ENF007,Enfermería Básica 1,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
ENF008,Comprensión y Producción de Textos 2,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 02
ENF009,Determinantes Sociales de la Salud,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 02
ENF010,Enfermería Básica 2,6,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 02
ENF011,Nutrición y Dietoterapia,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 02
ENF012,Anatomía y Fisiología Humana 1,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 02
ENF013,Electivo General 1,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 02
ENF014,Estadística y Probabilidades,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
ENF015,Laboratorio de Liderazgo e Innovación Intermedio,2,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
ENF016,Psicología Aplicada a las Ciencias de la Salud,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
ENF017,Enfermería en el Cuidado del Adulto 1,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
ENF018,Microbiología Clínica,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
ENF019,Anatomía y Fisiología Humana 2,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
ENF020,Electivo General 2,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
ENF021,English Course 1,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 04
ENF022,Farmacología General,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 04
ENF023,Enfermería en el Cuidado del Adulto 2,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 04
