```csv id="civil2025"
codigo,asignatura,creditos,prerrequisitos,tipo,estado,nota,veces llevado,area,ciclo
CIVI0101,"Comprensión y Producción de Textos 1",3,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 1"
CIVI0102,"Laboratorio de Liderazgo e Innovación",3,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 1"
CIVI0103,"Estrategias y Herramientas Digitales para el Aprendizaje",4,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 1"
CIVI0104,"Matemática Básica",4,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 1"
CIVI0105,"Química 1",4,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 1"
CIVI0106,"Introducción a la Ingeniería Civil",3,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 1"

CIVI0201,"Comprensión y Producción de Textos 2",4,"CIVI0101","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 2"
CIVI0202,"Electivo General 1",3,"Ninguno","Electivo","Pendiente",0,0,"Ingeniería","Ciclo 2"
CIVI0203,"Álgebra Lineal y Geometría Analítica",4,"CIVI0104","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 2"
CIVI0204,"Matemática Superior",4,"CIVI0104","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 2"
CIVI0205,"Geología",3,"CIVI0105","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 2"
CIVI0206,"Geometría Descriptiva",2,"CIVI0104","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 2"
CIVI0207,"Materiales de Construcción",3,"CIVI0106","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 2"

CIVI0301,"Estadística y Probabilidades",4,"CIVI0204","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 3"
CIVI0302,"Electivo General 2",3,"Ninguno","Electivo","Pendiente",0,0,"Ingeniería","Ciclo 3"
CIVI0303,"Laboratorio de Liderazgo e Innovación Intermedio",2,"CIVI0102","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 3"
CIVI0304,"Cálculo Diferencial",4,"CIVI0204","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 3"
CIVI0305,"Física 1",4,"CIVI0204","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 3"
CIVI0306,"Topografía",4,"CIVI0206","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 3"
CIVI0307,"Modelado en Ingeniería Civil 1",2,"CIVI0206","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 3"

CIVI0401,"English Course 1",3,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 4"
CIVI0402,"Electivo General 3",3,"Ninguno","Electivo","Pendiente",0,0,"Ingeniería","Ciclo 4"
CIVI0403,"Electivo General 4",3,"Ninguno","Electivo","Pendiente",0,0,"Ingeniería","Ciclo 4"
CIVI0404,"Mecánica Vectorial - Estática",4,"CIVI0305","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 4"
CIVI0405,"Cálculo Integral",4,"CIVI0304","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 4"
CIVI0406,"Física 2",4,"CIVI0305","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 4"
CIVI0407,"Modelado en Ingeniería Civil 2",2,"CIVI0307","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 4"

CIVI0501,"English Course 2",3,"CIVI0401","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"
CIVI0502,"Laboratorio de Liderazgo e Innovación Avanzado",3,"CIVI0303","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"
CIVI0503,"Mecánica Vectorial - Dinámica",4,"CIVI0404","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"
CIVI0504,"Ecuaciones Diferenciales",4,"CIVI0405","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"
CIVI0505,"Mecánica de Materiales 1",4,"CIVI0404","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"
CIVI0506,"Modelado en Ingeniería Civil 3",2,"CIVI0407","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"
CIVI0507,"Tecnología del Concreto",3,"CIVI0207","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"

CIVI0601,"Investigación Académica",3,"CIVI0201","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 6"
CIVI0602,"English Course 3",3,"CIVI0501","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 6"
CIVI0603,"Estadística para Ingeniería",3,"CIVI0301","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 6"
CIVI0604,"Mecánica de Fluidos 1",4,"CIVI0503","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 6"
CIVI0605,"Métodos Numéricos",4,"CIVI0504","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 6"
CIVI0606,"Análisis Estructural 1",4,"CIVI0505","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 6"

CIVI0701,"English Course 4",3,"CIVI0602","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 7"
CIVI0702,"Electivo General 5",1,"Ninguno","Electivo","Pendiente",0,0,"Ingeniería","Ciclo 7"
CIVI0703,"Hidrología",3,"CIVI0604","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 7"
CIVI0704,"Caminos 1",3,"CIVI0306","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 7"
CIVI0705,"Construcción 1",4,"CIVI0507","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 7"
CIVI0706,"Análisis Estructural 2",4,"CIVI0606","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 7"
CIVI0707,"Mecánica de Suelos 1",4,"CIVI0205","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 7"

CIVI0801,"Gestión de Proyectos en Ingeniería",3,"CIVI0705","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 8"
CIVI0802,"Construcción 2",3,"CIVI0705","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 8"
CIVI0803,"Análisis Estructural 3",4,"CIVI0706","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 8"
CIVI0804,"Mecánica de Suelos 2",4,"CIVI0707","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 8"
CIVI0805,"Caminos 2",4,"CIVI0704","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 8"
CIVI0806,"Ingeniería Sismorresistente",4,"CIVI0803","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 8"

CIVI0901,"Electivo 1 de Especialidad o Interdisciplinario",3,"Ninguno","Electivo","Pendiente",0,0,"Ingeniería","Ciclo 9"
CIVI0902,"Taller de Investigación 1 en Ingeniería Civil",4,"CIVI0601","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 9"
CIVI0903,"Costos, Presupuesto y Programación de Obra",4,"CIVI0802","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 9"
CIVI0904,"Concreto Armado 1",5,"CIVI0507","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 9"
