codigo,asignatura,creditos,prerrequisitos,tipo,estado,nota,veces llevado,area,ciclo
ASUC001,"Comprensión y Producción de Textos 1",3,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 1"
ASUC002,"Laboratorio de Liderazgo e Innovación",3,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 1"
ASUC003,"Estrategias y Herramientas Digitales para el Aprendizaje",4,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 1"
ASUC004,"Matemática Básica",4,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 1"
ASUC005,"Matemática Discreta 1",4,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 1"
ASUC006,"Técnicas de Programación",2,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 1"
ASUC007,"Introducción a la Ingeniería de Sistemas e Informática",3,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 1"

ASUC008,"Comprensión y Producción de Textos 2",4,"ASUC001","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 2"
ASUC009,"Electivo General 1",3,"Ninguno","Electivo","Pendiente",0,0,"Ingeniería","Ciclo 2"
ASUC010,"Álgebra Lineal y Geometría Analítica",4,"ASUC004","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 2"
ASUC011,"Modelado de Negocios",3,"ASUC007","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 2"
ASUC012,"Matemática Superior",4,"ASUC004","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 2"
ASUC013,"Matemática Discreta 2",4,"ASUC005","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 2"
ASUC014,"Programación Orientada a Objetos",2,"ASUC006","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 2"

ASUC015,"Estadística y Probabilidades",4,"ASUC012","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 3"
ASUC016,"Electivo General 2",3,"ASUC009","Electivo","Pendiente",0,0,"Ingeniería","Ciclo 3"
ASUC017,"Laboratorio de Liderazgo e Innovación Intermedio",2,"ASUC002","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 3"
ASUC018,"Cálculo Diferencial",4,"ASUC012","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 3"
ASUC019,"Física 1",4,"ASUC010","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 3"
ASUC020,"Base de Datos 1",3,"ASUC011","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 3"
ASUC021,"Diseño Web",2,"ASUC014","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 3"
ASUC022,"Estructura de Datos",2,"ASUC014","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 3"

ASUC023,"Electivo General 3",3,"ASUC016","Electivo","Pendiente",0,0,"Ingeniería","Ciclo 4"
ASUC024,"Electivo General 4",3,"ASUC023","Electivo","Pendiente",0,0,"Ingeniería","Ciclo 4"
ASUC025,"English Course 1",3,"ASUC008","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 4"
ASUC026,"Cálculo Integral",4,"ASUC018","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 4"
ASUC027,"Física Electromagnética",4,"ASUC019","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 4"
ASUC028,"Análisis y Diseño de Software",4,"ASUC011","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 4"
ASUC029,"Programación Web",2,"ASUC021","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 4"

ASUC030,"English Course 2",3,"ASUC025","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"
ASUC031,"Laboratorio de Liderazgo e Innovación Avanzado",3,"ASUC017","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"
ASUC032,"Ecuaciones Diferenciales",4,"ASUC026","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"
ASUC033,"Estadística para Ingeniería",3,"ASUC015","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"
ASUC034,"Desarrollo de Aplicaciones Web",2,"ASUC029","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"
ASUC035,"Base de Datos 2",3,"ASUC020","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"
ASUC036,"Arquitectura del Computador",3,"ASUC027","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"

ASUC037,"Investigación Académica",3,"ASUC008","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 6"
ASUC038,"English Course 3",3,"ASUC030","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 6"
ASUC039,"Investigación Operativa 1",4,"ASUC033","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 6"
ASUC040,"Métodos Numéricos",4,"ASUC032","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 6"
ASUC041,"Desarrollo de Videojuegos",4,"ASUC034","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 6"
ASUC042,"Sistemas Operativos",4,"ASUC036","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 6"

ASUC043,"English Course 4",3,"ASUC038","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 7"
ASUC044,"Electivo General 5",1,"ASUC024","Electivo","Pendiente",0,0,"Ingeniería","Ciclo 7"
ASUC045,"Ingeniería Económica",3,"ASUC033","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 7"
ASUC046,"Redes de Computadoras",4,"ASUC042","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 7"
ASUC047,"Ingeniería de Software",4,"ASUC028","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 7"
ASUC048,"Proyectos de Innovación",2,"ASUC031","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 7"
ASUC049,"Fundamentos de Sistemas Dinámicos y Modelado",3,"ASUC039","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 7"
ASUC050,"Construcción y Pruebas de Software",4,"ASUC047","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 7"

ASUC051,"Simulación de Procesos",3,"ASUC049","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 8"
ASUC052,"Gestión de Proyectos en Ingeniería",3,"ASUC045","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 8"
ASUC053,"Conmutación y Enrutamiento",4,"ASUC046","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 8"
ASUC054,"Desarrollo de Aplicaciones Móviles",4,"ASUC034","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 8"
ASUC055,"Arquitectura de Software",3,"ASUC047","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 8"
ASUC056,"Metodologías Ágiles para el Desarrollo de Software",3,"ASUC047","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 8"

ASUC057,"Electivo Transversal o de Especialidad 1",3,"Ninguno","Electivo","Pendiente",0,0,"Ingeniería","Ciclo 9"
ASUC058,"Taller de Investigación 1 en Ing. de Sistemas e Inf.",4,"ASUC037","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 9"
ASUC059,"Proyectos de Diseño en Ing. de Sistemas e Inf.",4,"ASUC052","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 9"
ASUC060,"Inteligencia de Negocios y Ciencia de Datos",4,"ASUC035","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 9"
ASUC061,"Seguridad de la Información",3,"ASUC046","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 9"
ASUC062,"Aplicaciones Cloud",2,"ASUC054","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 9"

ASUC063,"Taller de Investigación 2 en Ing. de Sistemas e Inf.",4,"ASUC058","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 10"
ASUC064,"Proyectos de Diseño y Desarrollo en Ing. de Sistemas e Inf.",4,"ASUC059","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 10"
ASUC065,"Auditoría de Sistemas",3,"ASUC061","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 10"
ASUC066,"Robótica y Machine Learning",2,"ASUC060","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 10"
ASUC067,"Planificación y Gestión de Tecnologías de la Información",3,"ASUC052","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 10"
ASUC068,"Electivo Transversal o de Especialidad 2",3,"ASUC057","Electivo","Pendiente",0,0,"Ingeniería","Ciclo 10"
