codigo,asignatura,creditos,prerrequisitos,tipo,estado,nota,veces llevado,area,ciclo
MINA0101,Matemática Superior,4,Ninguno,Obligatorio,Pendiente,0,0,Ingeniería,1
MINA0102,Habilidades Comunicativas,4,Ninguno,Obligatorio,Pendiente,0,0,Ingeniería,1
MINA0103,Gestión del Aprendizaje,3,Ninguno,Obligatorio,Pendiente,0,0,Ingeniería,1
MINA0104,Introducción a la Ingeniería de Minas,3,Ninguno,Obligatorio,Pendiente,0,0,Ingeniería,1
MINA0105,Química 1,4,Ninguno,Obligatorio,Pendiente,0,0,Ingeniería,1
MINA0106,Laboratorio de Liderazgo,3,Ninguno,Obligatorio,Pendiente,0,0,Ingeniería,1

MINA0201,Álgebra Lineal y Geometría Analítica,4,MINA0101,Obligatorio,Pendiente,0,0,Ingeniería,2
MINA0202,Fundamentos del Cálculo,4,MINA0101,Obligatorio,Pendiente,0,0,Ingeniería,2
MINA0203,Algoritmia,3,Ninguno,Obligatorio,Pendiente,0,0,Ingeniería,2
MINA0204,Comunicación Efectiva,4,MINA0102,Obligatorio,Pendiente,0,0,Ingeniería,2
MINA0205,Dibujo en Ingeniería,4,Ninguno,Obligatorio,Pendiente,0,0,Ingeniería,2
MINA0206,Electivo General 1,3,Ninguno,Electivo,Pendiente,0,0,Ingeniería,2

MINA0301,Cálculo Diferencial,4,MINA0202,Obligatorio,Pendiente,0,0,Ingeniería,3
MINA0302,Física 1,4,MINA0202,Obligatorio,Pendiente,0,0,Ingeniería,3
MINA0303,Programación Aplicada,3,MINA0203,Obligatorio,Pendiente,0,0,Ingeniería,3
MINA0304,Estadística y Probabilidades,4,MINA0202,Obligatorio,Pendiente,0,0,Ingeniería,3
MINA0305,Geología General,4,MINA0105,Obligatorio,Pendiente,0,0,Ingeniería,3
MINA0306,Laboratorio de Liderazgo e Innovación Intermedio,2,MINA0106,Obligatorio,Pendiente,0,0,Ingeniería,3

MINA0401,Cálculo Integral,4,MINA0301,Obligatorio,Pendiente,0,0,Ingeniería,4
MINA0402,Física 2,4,MINA0302,Obligatorio,Pendiente,0,0,Ingeniería,4
MINA0403,Mecánica Vectorial - Estática,4,MINA0302,Obligatorio,Pendiente,0,0,Ingeniería,4
MINA0404,English Course 1,3,40 Créditos,Obligatorio,Pendiente,0,0,Ingeniería,4
MINA0405,Mineralogía y Petrología,4,MINA0305,Obligatorio,Pendiente,0,0,Ingeniería,4
MINA0406,Electivo General 2,3,Ninguno,Electivo,Pendiente,0,0,Ingeniería,4

MINA0501,Ecuaciones Diferenciales,4,MINA0401,Obligatorio,Pendiente,0,0,Ingeniería,5
MINA0502,Topografía Minera,4,MINA0205,Obligatorio,Pendiente,0,0,Ingeniería,5
MINA0503,Mecánica Vectorial - Dinámica,4,MINA0403,Obligatorio,Pendiente,0,0,Ingeniería,5
