codigo,asignatura,creditos,prerrequisitos,tipo,estado,nota,veces llevado,area,ciclo
ELEC0101,"Matemática Superior",4,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 1"
ELEC0102,"Comprensión y Producción de Textos 1",4,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 1"
ELEC0103,"Estrategias y Herramientas Digitales para el Aprendizaje",3,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 1"
ELEC0104,"Introducción a la Ingeniería Eléctrica",3,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 1"
ELEC0105,"Química 1",4,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 1"
ELEC0106,"Laboratorio de Liderazgo e Innovación",3,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 1"

ELEC0201,"Álgebra Lineal y Geometría Analítica",4,"ELEC0101","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 2"
ELEC0202,"Fundamentos del Cálculo",4,"ELEC0101","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 2"
ELEC0203,"Algoritmia",3,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 2"
ELEC0204,"Comprensión y Producción de Textos 2",4,"ELEC0102","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 2"
ELEC0205,"Dibujo en Ingeniería",4,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 2"
ELEC0206,"Electivo General 1",3,"Ninguno","Electivo","Pendiente",0,0,"Ingeniería","Ciclo 2"
ELEC0207,"Física 1",4,"ELEC0101","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 2"

ELEC0301,"Cálculo Diferencial",4,"ELEC0202","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 3"
ELEC0302,"Física 2",4,"ELEC0207","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 3"
ELEC0303,"Programación Aplicada",3,"ELEC0203","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 3"
ELEC0304,"Estadística y Probabilidades",4,"ELEC0202","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 3"
ELEC0305,"Variable Compleja y Transformadas",3,"ELEC0201","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 3"
ELEC0306,"Laboratorio de Liderazgo e Innovación Intermedio",2,"ELEC0106","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 3"
ELEC0307,"Mecánica Vectorial - Estática",4,"ELEC0207","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 3"

ELEC0401,"Cálculo Integral",4,"ELEC0301","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 4"
ELEC0402,"Física Electromagnética",4,"ELEC0302","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 4"
ELEC0403,"Circuitos Eléctricos 1",5,"ELEC0305","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 4"
ELEC0404,"English Course 1",3,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 4"
ELEC0405,"Electivo General 2",3,"Ninguno","Electivo","Pendiente",0,0,"Ingeniería","Ciclo 4"
ELEC0406,"Termodinámica",3,"ELEC0105","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 4"
ELEC0407,"Mecánica Vectorial - Dinámica",4,"ELEC0307","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 4"

ELEC0501,"Ecuaciones Diferenciales",4,"ELEC0401","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"
ELEC0502,"Circuitos Eléctricos 2",5,"ELEC0403","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"
ELEC0503,"Materiales Eléctricos",3,"ELEC0406","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"
ELEC0504,"Mecánica de Materiales",4,"ELEC0307","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"
ELEC0505,"Laboratorio de Liderazgo e Innovación Avanzado",3,"ELEC0306","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"
ELEC0506,"Métodos Numéricos",4,"ELEC0501","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"
ELEC0507,"English Course 2",3,"ELEC0404","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"

ELEC0601,"Máquinas Eléctricas 1",4,"ELEC0502","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 6"
ELEC0602,"Semiconductores y Dispositivos Electrónicos",3,"ELEC0502","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 6"
ELEC0603,"Fundamentos de Instrumentación y Medición",5,"ELEC0502","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 6"
ELEC0604,"Estadística para Ingeniería",3,"ELEC0304","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 6"
ELEC0605,"Investigación Académica",3,"ELEC0204","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 6"
ELEC0606,"Teoría de Campos Electromagnéticos",4,"ELEC0402","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 6"
ELEC0607,"English Course 3",3,"ELEC0507","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 6"

ELEC0701,"Máquinas Eléctricas 2",4,"ELEC0601","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 7"
ELEC0702,"Líneas de Transmisión",4,"ELEC0606","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 7"
ELEC0703,"Ingeniería de Control 1",3,"ELEC0501","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 7"
ELEC0704,"Instalaciones Eléctricas",4,"ELEC0502","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 7"
ELEC0705,"Mecánica de Fluidos",4,"ELEC0407","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 7"
ELEC0706,"Sistemas Digitales 1",3,"ELEC0602","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 7"
ELEC0707,"English Course 4",3,"ELEC0607","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 7"

