codigo,asignatura,creditos,prerrequisitos,tipo,estado,nota,veces llevado,area,ciclo
EMPR0101,"Matemática Básica",4,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 1"
EMPR0102,"Comprensión y Producción de Textos 1",3,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 1"
EMPR0103,"Estrategias y Herramientas Digitales para el Aprendizaje",4,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 1"
EMPR0104,"Introducción a la Ingeniería Empresarial",3,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 1"
EMPR0105,"Química 1",4,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 1"
EMPR0106,"Laboratorio de Liderazgo e Innovación",3,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 1"

EMPR0201,"Álgebra Lineal y Geometría Analítica",4,"EMPR0101","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 2"
EMPR0202,"Matemática Superior",4,"EMPR0101","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 2"
EMPR0203,"Algoritmia y Programación",3,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 2"
EMPR0204,"Comprensión y Producción de Textos 2",4,"EMPR0102","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 2"
EMPR0205,"Dibujo para Ingeniería",3,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 2"
EMPR0206,"Contabilidad General",3,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 2"
EMPR0207,"Electivo General 1",3,"Ninguno","Electivo","Pendiente",0,0,"Ingeniería","Ciclo 2"

EMPR0301,"Cálculo Diferencial",4,"EMPR0202","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 3"
EMPR0302,"Física 1",4,"EMPR0202","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 3"
EMPR0303,"Estructura de Datos",3,"EMPR0203","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 3"
EMPR0304,"Estadística y Probabilidades",4,"EMPR0202","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 3"
EMPR0305,"Costos y Presupuestos",3,"EMPR0206","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 3"
EMPR0306,"Laboratorio de Liderazgo e Innovación Intermedio",2,"EMPR0106","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 3"
EMPR0307,"Electivo General 2",3,"Ninguno","Electivo","Pendiente",0,0,"Ingeniería","Ciclo 3"

EMPR0401,"Cálculo Integral",4,"EMPR0301","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 4"
EMPR0402,"Física 2",4,"EMPR0302","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 4"
EMPR0403,"Base de Datos",4,"EMPR0303","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 4"
EMPR0404,"English Course 1",3,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 4"
EMPR0405,"Ingeniería de Procesos 1",3,"EMPR0104","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 4"
EMPR0406,"Microeconomía",3,"EMPR0304","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 4"
EMPR0407,"Electivo General 3",3,"Ninguno","Electivo","Pendiente",0,0,"Ingeniería","Ciclo 4"

EMPR0501,"Ecuaciones Diferenciales",4,"EMPR0401","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"
EMPR0502,"Investigación de Operaciones 1",4,"EMPR0304","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"
EMPR0503,"Análisis y Diseño de Sistemas",4,"EMPR0403","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"
EMPR0504,"English Course 2",3,"EMPR0404","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"
EMPR0505,"Ingeniería de Procesos 2",3,"EMPR0405","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"
EMPR0506,"Macroeconomía",3,"EMPR0406","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"
EMPR0507,"Laboratorio de Liderazgo e Innovación Avanzado",3,"EMPR0306","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"

EMPR0601,"Investigación de Operaciones 2",4,"EMPR0502","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 6"
EMPR0602,"Sistemas de Información Empresarial",4,"EMPR0503","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 6"
EMPR0603,"Investigación Académica",3,"EMPR0204","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 6"
EMPR0604,"English Course 3",3,"EMPR0504","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 6"
EMPR0605,"Finanzas Corporativas 1",3,"EMPR0305","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 6"
EMPR0606,"Estadística para Ingeniería",3,"EMPR0304","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 6"
EMPR0607,"Gestión del Talento Humano",3,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 6"

EMPR0701,"Simulación de Sistemas",4,"EMPR0601","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 7"
EMPR0702,"Arquitectura Empresarial",4,"EMPR0602","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 7"
EMPR0703,"Gestión de Proyectos",3,"EMPR0606","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 7"
EMPR0704,"English Course 4",3,"EMPR0604","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 7"
EMPR0705,"Finanzas Corporativas 2",3,"EMPR0605","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 7"
EMPR0706,"Marketing Empresarial",3,"EMPR0506","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 7"
EMPR0707,"Electivo General 4",3,"Ninguno","Electivo","Pendiente",0,0,"Ingeniería","Ciclo 7"

EMPR0801,"Gestión de Operaciones 1",4,"EMPR0701","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 8"
EMPR0802,"Inteligencia de Negocios",4,"EMPR0602","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 8"
EMPR0803,"Gerencia de Proyectos de Ingeniería",3,"EMPR0703","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 8"
EMPR0804,"Planeamiento Estratégico",3,"EMPR0706","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 8"
EMPR0805,"Derecho Empresarial",2,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 8"
EMPR0806,"Ingeniería Económica",3,"EMPR0705","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 8"
EMPR0807,"Electivo de Especialidad 1",3,"Ninguno","Electivo","Pendiente",0,0,"Ingeniería","Ciclo 8"

EMPR0901,"Gestión de Operaciones 2",4,"EMPR0801","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 9"
EMPR0902,"Taller de Investigación 1",4,"EMPR0603","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 9"
EMPR0903,"Supply Chain Management",3,"EMPR0801","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 9"
EMPR0904,"Gestión de la Calidad",3,"EMPR0606","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 9"
