codigo,asignatura,creditos,prerrequisitos,tipo,estado,nota,veces llevado,area,ciclo
INDU0101,Matemática Superior,4,Ninguno,Obligatorio,Pendiente,0,0,Ingeniería,1
INDU0102,Habilidades Comunicativas,4,Ninguno,Obligatorio,Pendiente,0,0,Ingeniería,1
INDU0103,Gestión del Aprendizaje,3,Ninguno,Obligatorio,Pendiente,0,0,Ingeniería,1
INDU0104,Introducción a la Ingeniería Industrial,3,Ninguno,Obligatorio,Pendiente,0,0,Ingeniería,1
INDU0105,Química 1,4,Ninguno,Obligatorio,Pendiente,0,0,Ingeniería,1
INDU0106,Laboratorio de Liderazgo,3,Ninguno,Obligatorio,Pendiente,0,0,Ingeniería,1

INDU0201,Álgebra Lineal y Geometría Analítica,4,INDU0101,Obligatorio,Pendiente,0,0,Ingeniería,2
INDU0202,Fundamentos del Cálculo,4,INDU0101,Obligatorio,Pendiente,0,0,Ingeniería,2
INDU0203,Algoritmia,3,Ninguno,Obligatorio,Pendiente,0,0,Ingeniería,2
INDU0204,Comunicación Efectiva,4,INDU0102,Obligatorio,Pendiente,0,0,Ingeniería,2
INDU0205,Dibujo en Ingeniería,4,Ninguno,Obligatorio,Pendiente,0,0,Ingeniería,2
INDU0206,Electivo General 1,3,Ninguno,Electivo,Pendiente,0,0,Ingeniería,2

INDU0301,Cálculo Diferencial,4,INDU0202,Obligatorio,Pendiente,0,0,Ingeniería,3
INDU0302,Física 1,4,INDU0202,Obligatorio,Pendiente,0,0,Ingeniería,3
INDU0303,Programación Aplicada,3,INDU0203,Obligatorio,Pendiente,0,0,Ingeniería,3
INDU0304,Estadística y Probabilidades,4,INDU0202,Obligatorio,Pendiente,0,0,Ingeniería,3
INDU0305,Química 2,4,INDU0105,Obligatorio,Pendiente,0,0,Ingeniería,3
INDU0306,Laboratorio de Liderazgo e Innovación Intermedio,2,INDU0106,Obligatorio,Pendiente,0,0,Ingeniería,3

INDU0401,Cálculo Integral,4,INDU0301,Obligatorio,Pendiente,0,0,Ingeniería,4
INDU0402,Física 2,4,INDU0302,Obligatorio,Pendiente,0,0,Ingeniería,4
INDU0403,Ingeniería de Métodos 1,4,INDU0104,Obligatorio,Pendiente,0,0,Ingeniería,4
INDU0404,English Course 1,3,40 Créditos,Obligatorio,Pendiente,0,0,Ingeniería,4
INDU0405,Costo y Presupuestos,4,Ninguno,Obligatorio,Pendiente,0,0,Ingeniería,4
INDU0406,Electivo General 2,3,Ninguno,Electivo,Pendiente,0,0,Ingeniería,4

INDU0501,Ecuaciones Diferenciales,4,INDU0401,Obligatorio,Pendiente,0,0,Ingeniería,5
INDU0502,Ingeniería de Métodos 2,4,INDU0403,Obligatorio,Pendiente,0,0,Ingeniería,5
INDU0503,Ingeniería de Materiales,4,INDU0305,Obligatorio,Pendiente,0,0,Ingeniería,5
INDU0504,Mecánica Vectorial para Ingenieros,4,INDU0302,Obligatorio,Pendiente,0,0,Ingeniería,5
INDU0505,Laboratorio de Liderazgo e Innovación Avanzado,3,INDU0306,Obligatorio,Pendiente,0,0,Ingeniería,5
INDU0506,English Course 2,3,INDU0404,Obligatorio,Pendiente,0,0,Ingeniería,5

INDU0601,Investigación de Operaciones 1,4,INDU0304,Obligatorio,Pendiente,0,0,Ingeniería,6
INDU0602,Procesos de Manufactura,4,INDU0503,Obligatorio,Pendiente,0,0,Ingeniería,6
INDU0603,Resistencia de Materiales,4,INDU0504,Obligatorio,Pendiente,0,0,Ingeniería,6
INDU0604,Estadística Aplicada para la Ingeniería,3,INDU0304,Obligatorio,Pendiente,0,0,Ingeniería,6
INDU0605,Investigación Académica,3,INDU0204,Obligatorio,Pendiente,0,0,Ingeniería,6
INDU0606,English Course 3,3,INDU0506,Obligatorio,Pendiente,0,0,Ingeniería,6

INDU0701,Investigación de Operaciones 2,4,INDU0601,Obligatorio,Pendiente,0,0,Ingeniería,7
INDU0702,Ingeniería Económica,3,INDU0405,Obligatorio,Pendiente,0,0,Ingeniería,7
INDU0703,Termodinámica Aplicada,4,INDU0402,Obligatorio,Pendiente,0,0,Ingeniería,7
INDU0704,Gestión del Mantenimiento,3,INDU0602,Obligatorio,Pendiente,0,0,Ingeniería,7
INDU0705,Seguridad e Higiene Industrial,3,INDU0403,Obligatorio,Pendiente,0,0,Ingeniería,7
INDU0706,Gestión del Talento Humano,3,Ninguno,Obligatorio,Pendiente,0,0,Ingeniería,7

INDU0801,Planeamiento y Control de Operaciones,4,INDU0701,Obligatorio,Pendiente,0,0,Ingeniería,8
INDU0802,Simulación de Sistemas Discretos,4,INDU0604,Obligatorio,Pendiente,0,0,Ingeniería,8
INDU0803,Control de Calidad,4,INDU0604,Obligatorio,Pendiente,0,0,Ingeniería,8
INDU0804,Gestión de Proyectos,3,INDU0702,Obligatorio,Pendiente,0,0,Ingeniería,8
INDU0805,Marketing Industrial,3,Ninguno,Obligatorio,Pendiente,0,0,Ingeniería,8
INDU0806,Electivo de Especialidad 1,3,Ninguno,Electivo,Pendiente,0,0,Ingeniería,8

INDU0901,Supply Chain Management,4,INDU0801,Obligatorio,Pendiente,0,0,Ingeniería,9
INDU0902,Taller de Investigación 1,4,INDU0605,Obligatorio,Pendiente,0,0,Ingeniería,9
INDU0903,Diseño de Plantas Industriales,4,INDU0502,Obligatorio,Pendiente,0,0,Ingeniería,9
INDU0904,Automatización de Procesos Industriales,4,INDU0703,Obligatorio,Pendiente,0,0,Ingeniería,9
INDU0905,Derecho Empresarial,2,Ninguno,Obligatorio,Pendiente,0,0,Ingeniería,9
INDU0906,Electivo de Especialidad 2,3,Ninguno,Electivo,Pendiente,0,0,Ingeniería,9

INDU1001,Gerencia Estratégica,3,INDU0804,Obligatorio,Pendiente,0,0,Ingeniería,10
INDU1002,Taller de Investigación 2,4,INDU0902,Obligatorio,Pendiente,0,0,Ingeniería,10
INDU1003,Gestión Ambiental,3,INDU0305,Obligatorio,Pendiente,0,0,Ingeniería,10
INDU1004,Ética Profesional,2,Ninguno,Obligatorio,Pendiente,0,0,Ingeniería,10
INDU1005,Sistemas Integrados de Gestión,3,INDU0803,Obligatorio,Pendiente,0,0,Ingeniería,10
INDU1006,Electivo de Especialidad 3,3,Ninguno,Electivo,Pendiente,0,0,Ingeniería,10
