codigo,asignatura,creditos,prerrequisitos,tipo,estado,nota,veces llevado,area,ciclo
MECA0101,Matemática Superior,4,Ninguno,Obligatorio,Pendiente,0,0,Ingeniería,1
MECA0102,Habilidades Comunicativas,4,Ninguno,Obligatorio,Pendiente,0,0,Ingeniería,1
MECA0103,Gestión del Aprendizaje,3,Ninguno,Obligatorio,Pendiente,0,0,Ingeniería,1
MECA0104,Introducción a la Ingeniería Mecánica,3,Ninguno,Obligatorio,Pendiente,0,0,Ingeniería,1
MECA0105,Química 1,4,Ninguno,Obligatorio,Pendiente,0,0,Ingeniería,1
MECA0106,Laboratorio de Liderazgo,3,Ninguno,Obligatorio,Pendiente,0,0,Ingeniería,1

MECA0201,Álgebra Lineal y Geometría Analítica,4,MECA0101,Obligatorio,Pendiente,0,0,Ingeniería,2
MECA0202,Fundamentos del Cálculo,4,MECA0101,Obligatorio,Pendiente,0,0,Ingeniería,2
MECA0203,Algoritmia,3,Ninguno,Obligatorio,Pendiente,0,0,Ingeniería,2
MECA0204,Comunicación Efectiva,4,MECA0102,Obligatorio,Pendiente,0,0,Ingeniería,2
MECA0205,Dibujo en Ingeniería,4,Ninguno,Obligatorio,Pendiente,0,0,Ingeniería,2
MECA0206,Electivo General 1,3,Ninguno,Electivo,Pendiente,0,0,Ingeniería,2

MECA0301,Cálculo Diferencial,4,MECA0202,Obligatorio,Pendiente,0,0,Ingeniería,3
MECA0302,Física 1,4,MECA0202,Obligatorio,Pendiente,0,0,Ingeniería,3
MECA0303,Programación Aplicada,3,MECA0203,Obligatorio,Pendiente,0,0,Ingeniería,3
MECA0304,Estadística y Probabilidades,4,MECA0202,Obligatorio,Pendiente,0,0,Ingeniería,3
MECA0305,Cálculo de Elementos de Máquinas 1,3,MECA0205,Obligatorio,Pendiente,0,0,Ingeniería,3
MECA0306,Laboratorio de Liderazgo e Innovación Intermedio,2,MECA0106,Obligatorio,Pendiente,0,0,Ingeniería,3

MECA0401,Cálculo Integral,4,MECA0301,Obligatorio,Pendiente,0,0,Ingeniería,4
MECA0402,Física 2,4,MECA0302,Obligatorio,Pendiente,0,0,Ingeniería,4
MECA0403,Mecánica Vectorial - Estática,4,MECA0302,Obligatorio,Pendiente,0,0,Ingeniería,4
MECA0404,English Course 1,3,40 Créditos,Obligatorio,Pendiente,0,0,Ingeniería,4
MECA0405,Tecnología de Materiales 1,4,MECA0105,Obligatorio,Pendiente,0,0,Ingeniería,4
MECA0406,Electivo General 2,3,Ninguno,Electivo,Pendiente,0,0,Ingeniería,4

MECA0501,Ecuaciones Diferenciales,4,MECA0401,Obligatorio,Pendiente,0,0,Ingeniería,5
MECA0502,Termodinámica 1,4,MECA0402,Obligatorio,Pendiente,0,0,Ingeniería,5
MECA0503,Mecánica Vectorial - Dinámica,4,MECA0403,Obligatorio,Pendiente,0,0,Ingeniería,5
MECA0504,Tecnología de Materiales 2,4,MECA0405,Obligatorio,Pendiente,0,0,Ingeniería,5
MECA0505,Laboratorio de Liderazgo e Innovación Avanzado,3,MECA0306,Obligatorio,Pendiente,0,0,Ingeniería,5
MECA0506,English Course 2,3,MECA0404,Obligatorio,Pendiente,0,0,Ingeniería,5

MECA0601,Mecánica de Sólidos 1,4,MECA0403,Obligatorio,Pendiente,0,0,Ingeniería,6
MECA0602,Mecánica de Fluidos 1,4,MECA0503,Obligatorio,Pendiente,0,0,Ingeniería,6
MECA0603,Termodinámica 2,4,MECA0502,Obligatorio,Pendiente,0,0,Ingeniería,6
MECA0604,Procesos de Manufactura 1,4,MECA0504,Obligatorio,Pendiente,0,0,Ingeniería,6
MECA0605,Investigación Académica,3,MECA0204,Obligatorio,Pendiente,0,0,Ingeniería,6
MECA0606,English Course 3,3,MECA0506,Obligatorio,Pendiente,0,0,Ingeniería,6

MECA0701,Mecánica de Sólidos 2,4,MECA0601,Obligatorio,Pendiente,0,0,Ingeniería,7
MECA0702,Mecánica de Fluidos 2,4,MECA0602,Obligatorio,Pendiente,0,0,Ingeniería,7
MECA0703,Transferencia de Calor y Masa,4,MECA0603,Obligatorio,Pendiente,0,0,Ingeniería,7
MECA0704,Procesos de Manufactura 2,4,MECA0604,Obligatorio,Pendiente,0,0,Ingeniería,7
MECA0705,Mecanismos,4,MECA0503,Obligatorio,Pendiente,0,0,Ingeniería,7
MECA0706,English Course 4,3,MECA0606,Obligatorio,Pendiente,0,0,Ingeniería,7

MECA0801,Cálculo de Elementos de Máquinas 2,4,"MECA0701;MECA0305",Obligatorio,Pendiente,0,0,Ingeniería,8
MECA0802,Ingeniería de Control,4,MECA0501,Obligatorio,Pendiente,0,0,Ingeniería,8
MECA0803,Máquinas Térmicas,4,MECA0703,Obligatorio,Pendiente,0,0,Ingeniería,8
MECA0804,Máquinas Hidráulicas,4,MECA0702,Obligatorio,Pendiente,0,0,Ingeniería,8
MECA0805,Circuitos y Máquinas Eléctricas,4,MECA0402,Obligatorio,Pendiente,0,0,Ingeniería,8
MECA0806,Electivo de Especialidad 1,3,Ninguno,Electivo,Pendiente,0,0,Ingeniería,8

MECA0901,Diseño de Máquinas,4,MECA0801,Obligatorio,Pendiente,0,0,Ingeniería,9
MECA0902,Taller de Investigación 1,4,MECA0605,Obligatorio,Pendiente,0,0,Ingeniería,9
MECA0903,Mantenimiento Mecánico,4,MECA0801,Obligatorio,Pendiente,0,0,Ingeniería,9
