codigo,asignatura,creditos,prerrequisitos,tipo,estado,nota,veces llevado,area,ciclo
ODO001,Comprensión y Producción de Textos 1,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
ODO002,Laboratorio de Liderazgo e Innovación,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
ODO003,Estrategias y Herramientas Digitales para el Aprendizaje,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
ODO004,Fundamentos de Matemática,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
ODO005,Morfofisiología del cuerpo humano,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
ODO006,Biomateriales en Odontología,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
ODO007,Comprensión y Producción de Textos 2,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 02
ODO008,Determinantes Sociales de la Salud,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 02
ODO009,Morfofisiología de cabeza y cuello,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 02
ODO010,Microbiología General y Oral,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 02
ODO011,Taller práctico de encerado digital,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 02
ODO012,Electivo General 1,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 02
ODO013,Estadística y Probabilidades,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
ODO014,Laboratorio de Liderazgo e Innovación Intermedio,2,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
ODO015,Psicología Aplicada a las Ciencias de la Salud,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
ODO016,Oclusión,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
ODO017,Semiología General y Bucal,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
ODO018,Farmacología Aplicada a la Odontología,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
ODO019,Electivo General 2,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
ODO020,English Course 1,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 04
ODO021,Cirugía y Traumatología Buco Maxilofacial 1,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 04
ODO022,Patología General y Bucal,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 04
ODO023,Periodoncia 1,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 04
ODO024,Imagenología en odontología,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 04
ODO025,Electivo General 3,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 04
ODO026,Electivo General 4,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 04
ODO027,English Course 2,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 05
ODO028,Laboratorio de Liderazgo e Innovación Avanzado,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 05
ODO029,Epidemiología,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 05
ODO030,Cirugía y Traumatología Buco Maxilofacial 2,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 05
ODO031,Operatoria Dental 1,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 05
ODO032,Periodoncia 2,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 05
ODO033,Endodoncia 1,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 05
ODO034,Investigación Académica,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 06
ODO035,English Course 3,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 06
ODO036,Funciones esenciales de la Salud Pública,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 06
ODO037,Odontopediatría,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 06
ODO038,Operatoria Dental 2,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 06
ODO039,Endodoncia 2,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 06
ODO040,English Course 4,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 07
