codigo,asignatura,creditos,prerrequisitos,tipo,estado,nota,veces llevado,area,ciclo
LAB001,Comprensión y Producción de Textos 1,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
LAB002,Laboratorio de Liderazgo e Innovación,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
LAB003,Estrategias y Herramientas Digitales para el Aprendizaje,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
LAB004,Fundamentos de Matemática,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
LAB005,Biología en Salud,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
LAB006,Química en Salud,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
LAB007,Introducción al Laboratorio Clínico y Anatomía Patológica,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
LAB008,Comprensión y Producción de Textos 2,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 02
LAB009,Determinantes Sociales de la Salud,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 02
LAB010,Morfofisiología,12,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 02
LAB011,Electivo General 1,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 02
LAB012,Estadística y Probabilidades,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
LAB013,Laboratorio de Liderazgo e Innovación Intermedio,2,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
LAB014,Psicología Aplicada a las Ciencias de la Salud,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
LAB015,Principios del Auxilio Inmediato,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
LAB016,Hematología General,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
LAB017,Bioquímica Clínica 1,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
LAB018,Electivo General 2,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
LAB019,English Course 1,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 04
LAB020,Patología General,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 04
LAB021,Farmacología General,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 04
LAB022,Inmunología General,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 04
LAB023,Biología Molecular en Laboratorio,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 04
LAB024,Electivo General 3,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 04
LAB025,Electivo General 4,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 04
LAB026,English Course 2,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 05
LAB027,Laboratorio de Liderazgo e Innovación Avanzado,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 05
LAB028,Ética y Deontología en Tecnología Médica,2,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 05
LAB029,Epidemiología,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 05
LAB030,Virología,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 05
LAB031,Toxicología y Bioquímica Legal,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 05
LAB032,Parasitología,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 05
LAB033,Investigación Académica,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 06
LAB034,English Course 3,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 06
LAB035,Funciones esenciales de la Salud Pública,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 06
LAB036,Bacteriología,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 06
LAB037,Citogenética,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 06
LAB038,Sistema de Gestión de la Calidad en Laboratorio Clínico,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 06
LAB039,Micología,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 06
LAB040,English Course 4,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 07
LAB041,Taller de Investigación en Salud 1,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 07
LAB042,Bioquímica Clínica 2,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 07
LAB043,Hematología Especial,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 07
LAB044,Citotecnología,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 07
LAB045,Inmunología Especial,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 07
LAB046,Electivo General 5,1,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 07
LAB047,Gestión y Administración en Servicios de Salud en Tecnología Médica,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 08
LAB048,Taller de Investigación en Salud 2,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 08
LAB049,Banco de Sangre y Hemoterapia,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 08
LAB050,Técnicas en Necropsia y Patología Forense,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 08
LAB051,Microbiología Clínica y Sanitaria,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 08
LAB052,Histotecnología,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 08
LAB053,Electivo Interdisciplinario 1,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 08
LAB054,Internado en Laboratorio Clínico y Anatomía Patológica 1,22,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 09
LAB055,Electivo Interdisciplinario 3,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 09
LAB056,Internado en Laboratorio Clínico y Anatomía Patológica 2,22,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 10
LAB057,Trabajo de Investigación - Tecnología Médica,1,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 10
