codigo,asignatura,creditos,prerrequisitos,tipo,estado,nota,veces llevado,area,ciclo
COM001,Comprensión y Producción de Textos 1,3,Ninguno,Obligatorio,Pendiente,0,0,Comunicaciones,Ciclo 01
COM002,Laboratorio de Liderazgo e Innovación,3,Ninguno,Obligatorio,Pendiente,0,0,Comunicaciones,Ciclo 01
COM003,Estrategias y Herramientas Digitales para el Aprendizaje,4,Ninguno,Obligatorio,Pendiente,0,0,Comunicaciones,Ciclo 01
COM004,Fundamentos de Matemática,4,Ninguno,Obligatorio,Pendiente,0,0,Comunicaciones,Ciclo 01
COM005,Introducción a las Comunicaciones,5,Ninguno,Obligatorio,Pendiente,0,0,Comunicaciones,Ciclo 01
COM006,Apreciación Artística y Estética Audiovisual,4,Ninguno,Obligatorio,Pendiente,0,0,Comunicaciones,Ciclo 01
COM007,Comprensión y Producción de Textos 2,4,Ninguno,Obligatorio,Pendiente,0,0,Comunicaciones,Ciclo 02
COM008,Globalización y Mundo Contemporáneo,3,Ninguno,Obligatorio,Pendiente,0,0,Comunicaciones,Ciclo 02
COM009,Fundamentos del Lenguaje Visual,4,Ninguno,Obligatorio,Pendiente,0,0,Comunicaciones,Ciclo 02
COM010,Procesos Creativos y Lenguaje de los Medios,4,Ninguno,Obligatorio,Pendiente,0,0,Comunicaciones,Ciclo 02
COM011,Electivo Transversal 1,3,Ninguno,Obligatorio,Pendiente,0,0,Comunicaciones,Ciclo 02
COM012,Electivo General 1,3,Ninguno,Obligatorio,Pendiente,0,0,Comunicaciones,Ciclo 02
COM013,Estadística y Probabilidades,4,Ninguno,Obligatorio,Pendiente,0,0,Comunicaciones,Ciclo 03
COM014,Laboratorio de Liderazgo e Innovación Intermedio,2,Ninguno,Obligatorio,Pendiente,0,0,Comunicaciones,Ciclo 03
COM015,Teorías de la Comunicación,4,Ninguno,Obligatorio,Pendiente,0,0,Comunicaciones,Ciclo 03
COM016,Narrativa Visual,4,Ninguno,Obligatorio,Pendiente,0,0,Comunicaciones,Ciclo 03
COM017,Fundamentos de Gestión Organizacional,5,Ninguno,Obligatorio,Pendiente,0,0,Comunicaciones,Ciclo 03
COM018,Electivo General 2,3,Ninguno,Obligatorio,Pendiente,0,0,Comunicaciones,Ciclo 03
COM019,English Course 1,3,Ninguno,Obligatorio,Pendiente,0,0,Comunicaciones,Ciclo 04
COM020,Semiótica para las Comunicaciones,4,Ninguno,Obligatorio,Pendiente,0,0,Comunicaciones,Ciclo 04
COM021,Introducción a la Filosofía,4,Ninguno,Obligatorio,Pendiente,0,0,Comunicaciones,Ciclo 04
COM022,Composición y Edición Fotográfica,5,Ninguno,Obligatorio,Pendiente,0,0,Comunicaciones,Ciclo 04
COM023,Electivo General 3,3,Ninguno,Obligatorio,Pendiente,0,0,Comunicaciones,Ciclo 04
