codigo,asignatura,creditos,prerrequisitos,tipo,estado,nota,veces llevado,area,ciclo
AMB001,"Comprensión y Producción de Textos 1",3,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 1"
AMB002,"Laboratorio de Liderazgo e Innovación",3,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 1"
AMB003,"Estrategias y Herramientas Digitales para el Aprendizaje",4,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 1"
AMB004,"Matemática Básica",4,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 1"
AMB005,"Química 1",4,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 1"
AMB006,"Introducción a la Ingeniería Ambiental",3,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 1"

AMB007,"Comprensión y Producción de Textos 2",4,"AMB001","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 2"
AMB008,"Electivo General 1",4,"Ninguno","Electivo","Pendiente",0,0,"Ingeniería","Ciclo 2"
AMB009,"Álgebra Lineal y Geometría Analítica",4,"AMB004","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 2"
AMB010,"Matemática Superior",3,"AMB004","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 2"
AMB011,"Geología",4,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 2"
AMB012,"Química 2",3,"AMB005","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 2"

AMB013,"Estadística y Probabilidades",4,"AMB010","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 3"
AMB014,"Laboratorio de Liderazgo e Innovación Intermedio",2,"AMB002","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 3"
AMB015,"Programación Aplicada",3,"AMB003","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 3"
AMB016,"Cálculo Diferencial",4,"AMB010","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 3"
AMB017,"Física 1",4,"AMB009","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 3"
AMB018,"Química Ambiental",4,"AMB012","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 3"

AMB019,"Electivo General 3",3,"Ninguno","Electivo","Pendiente",0,0,"Ingeniería","Ciclo 4"
AMB020,"English Course 1",4,"AMB007","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 4"
AMB021,"Electivo General 4",4,"Ninguno","Electivo","Pendiente",0,0,"Ingeniería","Ciclo 4"
AMB022,"Dibujo en Ingeniería",4,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 4"
AMB023,"Cálculo Integral",3,"AMB016","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 4"
AMB024,"Física 2",3,"AMB017","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 4"
AMB025,"Biología Ambiental",3,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 4"

AMB026,"English Course 2",3,"AMB020","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"
AMB027,"Laboratorio de Liderazgo e Innovación Avanzado",3,"AMB014","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"
AMB028,"Topografía",4,"AMB022","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"
AMB029,"Ecuaciones Diferenciales",4,"AMB023","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"
AMB030,"Balance de Materia y Energía",4,"AMB018","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"
AMB031,"Contaminación Ambiental",3,"AMB018","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"
AMB032,"Meteorología y Climatología",3,"AMB024","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 5"

AMB033,"Investigación Académica",3,"AMB007","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 6"
AMB034,"English Course 3",3,"AMB026","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 6"
AMB035,"Mecánica de Fluidos 1",4,"AMB024","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 6"
AMB036,"Formulación de Proyectos Ambientales",4,"AMB006","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 6"
AMB037,"Geomática y Sensoramiento Remoto",4,"AMB028","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 6"
AMB038,"Monitoreo Ambiental",4,"AMB031","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 6"

AMB039,"English Course 4",3,"AMB034","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 7"
AMB040,"Electivo General 3",3,"Ninguno","Electivo","Pendiente",0,0,"Ingeniería","Ciclo 7"
AMB041,"Hidrología",3,"AMB032","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 7"
AMB042,"Seguridad y Salud Ocupacional",4,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 7"
AMB043,"Microbiología y Biotecnología Ambiental",3,"AMB025","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 7"
AMB044,"Análisis del Ciclo de Vida",4,"AMB030","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 7"
AMB045,"Ingeniería y Gestión de Residuos Sólidos",1,"AMB031","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 7"

AMB046,"Gestión de Proyectos en Ingeniería",3,"AMB036","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 8"
AMB047,"Responsabilidad Social y Ambiental",3,"Ninguno","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 8"
AMB048,"Calidad del Aire y Cambio Climático",4,"AMB032","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 8"
AMB049,"Remediación de Áreas Afectadas",4,"AMB038","Obligatorio","Pendiente",0,0,"Ingeniería","Ciclo 8"
