codigo,asignatura,creditos,prerrequisitos,tipo,estado,nota,veces llevado,area,ciclo
MED001,Comprensión y Producción de Textos 1,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
MED002,Laboratorio de Liderazgo e Innovación,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
MED003,Estrategias y Herramientas Digitales para el Aprendizaje,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
MED004,Química en Salud,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
MED005,Matemática Básica,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
MED006,Biología Celular,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
MED007,Comprensión y Producción de Textos 2,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 02
MED008,Electivo General 1,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 02
MED009,Determinantes Sociales de la Salud,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 02
MED010,Principios del Auxilio,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 02
MED011,Física Aplicada a la Salud,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 02
MED012,Conociendo la Medicina,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 02
MED013,Estadística y Probabilidades,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
MED014,Electivo General 2,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
MED015,Laboratorio de Liderazgo e Innovación Intermedio,2,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
MED016,Psicología Aplicada a las Ciencias de la Salud,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
MED017,Bioquímica y Biología Molecular,8,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
MED018,Electivo General 3,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 04
MED019,English Course 1,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 04
MED020,Electivo General 4,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 04
MED021,Estructura y Función I,12,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 04
MED022,Genética y Genómica Médica,2,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 04
MED023,English Course 2,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 05
MED024,Laboratorio de Liderazgo e Innovación Avanzado,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 05
MED025,Estructura y Función II,12,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 05
MED026,Epidemiología y Bioestadística,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 05
MED027,Nutrición Humana,2,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 05
MED028,Investigación Académica,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 06
MED029,English Course 3,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 06
MED030,Funciones esenciales de la Salud Pública,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 06
MED031,Microbiología y Parasitología,6,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 06
