codigo,asignatura,creditos,prerrequisitos,tipo,estado,nota,veces llevado,area,ciclo
RAD001,Comprensión y Producción de Textos 1,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
RAD002,Laboratorio de Liderazgo e Innovación,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
RAD003,Estrategias y Herramientas Digitales para el Aprendizaje,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
RAD004,Fundamentos de Matemática,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
RAD005,Biología en Salud,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
RAD006,Física en Salud,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
RAD007,Introducción a la Radiología,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 01
RAD008,Comprensión y Producción de Textos 2,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 02
RAD009,Determinantes Sociales de la Salud,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 02
RAD010,Morfofisiología,12,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 02
RAD011,Electivo General 1,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 02
RAD012,Estadística y Probabilidades,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
RAD013,Laboratorio de Liderazgo e Innovación Intermedio,2,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
RAD014,Psicología Aplicada a las Ciencias de la Salud,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
RAD015,Principios del Auxilio Inmediato,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
RAD016,Física de las Radiaciones,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
RAD017,Protección Radiológica y Radiobiología,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
RAD018,Electivo General 2,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 03
RAD019,English Course 1,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 04
RAD020,Patología General,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 04
RAD021,Farmacología General,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 04
RAD022,Instrumentación y Equipos de Diagnóstico por Imagen,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 04
RAD023,Producción y Tratamiento de Imágenes Diagnósticas,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 04
RAD024,Electivo General 3,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 04
RAD025,Electivo General 4,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 04
RAD026,English Course 2,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 05
RAD027,Laboratorio de Liderazgo e Innovación Avanzado,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 05
RAD028,Ética y Deontología en Tecnología Médica,2,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 05
RAD029,Epidemiología,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 05
RAD030,Anatomía Radiológica,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 05
RAD031,Tecnología en Diagnóstico por Imágenes con Radiaciones Ionizantes,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 05
RAD032,Instrumentación y Equipos en Medicina Nuclear y Radioterapia,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 05
RAD033,Investigación Académica,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 06
RAD034,English Course 3,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 06
RAD035,Funciones esenciales de la Salud Pública,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 06
RAD036,Semiología Radiológica,4,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 06
RAD037,Tecnología en Tomografía Computarizada,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 06
RAD038,Manejo de Radioisótopos,3,Ninguno,Obligatorio,Pendiente,0,0,Salud,Ciclo 06
